workflow	run	overall_status	workflow_status	datalife_status	darshan_status	datalife_json	datalife_block_traces	datalife_timers	datalife_bad_json	datalife_old_schema	darshan_logs	darshan_parseable	darshan_bad	slurm_log	run_dir	notes
DeepDriveMD-pipeline	4node-profiled-19327	fail	pass	needs_rerun	fail	97	97	0	0	97	604	602	2	runs/DeepDriveMD-pipeline/slurm-19327-4node-profiled.out	runs/DeepDriveMD-pipeline/4node-profiled-19327	"DataLife block trace old schema example Lorem ipsum.txt.2038203-ares-comp-30.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget; darshan-parser failed for jcernuda_python_id2040937-2040937_5-20-81943-7882017393661412972_1.darshan: # *ERROR*: The POSIX module contains incomplete data!
#            This happens when a module runs out of
#            memory to store new record data.

# To av; darshan-parser failed for jcernuda_python_id2041067-2041067_5-20-81962-5890058881792392870_1.darshan: # *ERROR*: The POSIX module contains incomplete data!
#            This happens when a module runs out of
#            memory to store new record data.

# To av"
Montage	4node-profiled-19055	needs_rerun	pass	needs_rerun	pass	536	536	0	0	536	40	40	0	runs/Montage/slurm-19055-4node-profiled.out	runs/Montage/4node-profiled-19055	DataLife block trace old schema example 2mass-atlas-990214n-j1110021.fits.3415983-ares-comp-10.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
PtychoNN	4node-profiled-19082	needs_rerun	pass	needs_rerun	pass	28	20	0	0	20	16	16	0	runs/PtychoNN/slurm-19082-4node-profiled.out	runs/PtychoNN/4node-profiled-19082	DataLife block trace old schema example 20191008_39_amp_pha_10nm_full.npy.2903177-ares-comp-11.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
PyFLEXTRKR	4node-profiled-19324	fail	fail	fail	fail	3	0	0	0	0	0	0	0	runs/PyFLEXTRKR/slurm-19324-4node-profiled.out	runs/PyFLEXTRKR/4node-profiled-19324	slurm log has fatal marker(s): BAD TERMINATION; DataLife JSON exists but no block traces were found; no non-empty Darshan logs found
biobb_wf_md_setup	4node-profiled-19230	needs_rerun	pass	needs_rerun	pass	328	328	0	0	328	136	136	0	runs/biobb_wf_md_setup/slurm-19230-4node-profiled.out	runs/biobb_wf_md_setup/4node-profiled-19230	DataLife block trace old schema example 1AKI.pdb.2177319-ares-comp-16.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
dna-seq-varlociraptor	4node-profiled-19531	fail	unknown	needs_rerun	fail	28	20	0	0	20	0	0	0	runs/dna-seq-varlociraptor/slurm-19531-4node-profiled.out	runs/dna-seq-varlociraptor/4node-profiled-19531	no clear workflow success marker in slurm log; DataLife block trace old schema example 2026-05-20T235104.075996.snakemake.log.2430671-ares-comp-14.w_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget; no non-empty Darshan logs found
nwchem	4node-profiled-19229	needs_rerun	pass	needs_rerun	pass	15	15	0	0	15	1	1	0	runs/nwchem/slurm-19229-4node-profiled.out	runs/nwchem/4node-profiled-19229	DataLife block trace old schema example 3carbo_dft.nw.2174518-ares-comp-16.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
parsl	4node-profiled-19101	needs_rerun	pass	needs_rerun	pass	1026	1024	0	0	1024	512	512	0	runs/parsl/slurm-19101-4node-profiled.out	runs/parsl/4node-profiled-19101	DataLife block trace old schema example chunk-0000.bin.2106381-ares-comp-16.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
pegasus	4node-profiled-19053	needs_rerun	pass	needs_rerun	pass	65	64	0	0	64	64	64	0	runs/pegasus/slurm-19053-4node-profiled.out	runs/pegasus/4node-profiled-19053	DataLife block trace old schema example part-0000.txt.3402502-ares-comp-10.w_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
radical.pilot	4node-profiled-19080	needs_rerun	pass	needs_rerun	pass	769	512	0	0	512	3328	3328	0	runs/radical.pilot/slurm-19080-4node-profiled.out	runs/radical.pilot/4node-profiled-19080	DataLife block trace old schema example task-0000.bin.3455922-ares-comp-10.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
rna-seq-star-deseq2	4node-profiled-19330	needs_rerun	pass	needs_rerun	pass	268	232	0	0	232	4	4	0	runs/rna-seq-star-deseq2/slurm-19330-4node-profiled.out	runs/rna-seq-star-deseq2/4node-profiled-19330	DataLife block trace old schema example Aligned.sortedByCoord.out.bam.2206545-ares-comp-14.r_blk_trace.json: missing required key 'file_name'; DataLife block traces use old schema missing widget-required metadata; rerun with rebuilt widget
